Indexing CT events from block 44020001 to 85042596 (41022595 blocks)
  Error at blocks 44020001-44030000: insert or update on table "resolutions" violates foreign key constraint "resolutions_condition_id_fkey"
DETAIL:  Key (condition_id)=(0xed65addb5390c14b75158647f6b6dace012ef44b6a93ca936704545536dffa36) is not present in table "markets".

  Error at blocks 44030001-44040000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44040001-44050000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44050001-44060000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44060001-44070000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44070001-44080000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44080001-44090000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44090001-44100000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44100001-44110000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44110001-44120000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44120001-44130000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44130001-44140000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44140001-44150000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44150001-44160000: current transaction is aborted, commands ignored until end of transaction block

Indexing CT events from block 44020001 to 85042627 (41022626 blocks)
  [CT] Block 47440000/85042627 (8.3%) | resolutions=505 redemptions=10903
  [CT] Block 47450000/85042627 (8.4%) | resolutions=506 redemptions=10930
  [CT] Block 47460000/85042627 (8.4%) | resolutions=506 redemptions=10951
  [CT] Block 47470000/85042627 (8.4%) | resolutions=506 redemptions=10984
  [CT] Block 47480000/85042627 (8.4%) | resolutions=506 redemptions=10988
  [CT] Block 47490000/85042627 (8.5%) | resolutions=507 redemptions=10998
  [CT] Block 47500000/85042627 (8.5%) | resolutions=507 redemptions=11010
  [CT] Block 47510000/85042627 (8.5%) | resolutions=507 redemptions=11025
  [CT] Block 47520000/85042627 (8.5%) | resolutions=507 redemptions=11030
  [CT] Block 47530000/85042627 (8.6%) | resolutions=508 redemptions=11039
  [CT] Block 47540000/85042627 (8.6%) | resolutions=508 redemptions=11067
  [CT] Block 47550000/85042627 (8.6%) | resolutions=508 redemptions=11084
  [CT] Block 47560000/85042627 (8.6%) | resolutions=509 redemptions=11099
  [CT] Block 47570000/85042627 (8.7%) | resolutions=509 redemptions=11107
  [CT] Block 47580000/85042627 (8.7%) | resolutions=509 redemptions=11121
  [CT] Block 47590000/85042627 (8.7%) | resolutions=509 redemptions=11128
  [CT] Block 47600000/85042627 (8.7%) | resolutions=509 redemptions=11131
  [CT] Block 47790000/85042627 (9.2%) | resolutions=533 redemptions=11535
  [CT] Block 48010000/85042627 (9.7%) | resolutions=560 redemptions=12020
  [CT] Block 48140000/85042627 (10.0%) | resolutions=580 redemptions=12514
  [CT] Block 48150000/85042627 (10.1%) | resolutions=580 redemptions=12531
  [CT] Block 48160000/85042627 (10.1%) | resolutions=583 redemptions=12532
  [CT] Block 48170000/85042627 (10.1%) | resolutions=589 redemptions=12535
  [CT] Block 48240000/85042627 (10.3%) | resolutions=646 redemptions=13017
  [CT] Block 48440000/85042627 (10.8%) | resolutions=669 redemptions=14006
  [CT] Block 48450000/85042627 (10.8%) | resolutions=676 redemptions=14023
  [CT] Block 48460000/85042627 (10.8%) | resolutions=676 redemptions=14026
  [CT] Block 48470000/85042627 (10.8%) | resolutions=677 redemptions=14038
  [CT] Block 48520000/85042627 (11.0%) | resolutions=702 redemptions=14216
  [CT] Block 48530000/85042627 (11.0%) | resolutions=702 redemptions=14277
  [CT] Block 48540000/85042627 (11.0%) | resolutions=705 redemptions=14319
  [CT] Block 48550000/85042627 (11.0%) | resolutions=705 redemptions=14340
  [CT] Block 48560000/85042627 (11.1%) | resolutions=705 redemptions=14361
  [CT] Block 48570000/85042627 (11.1%) | resolutions=706 redemptions=14376
  [CT] Block 48580000/85042627 (11.1%) | resolutions=708 redemptions=14409
  [CT] Block 48590000/85042627 (11.1%) | resolutions=709 redemptions=14422
  [CT] Block 48600000/85042627 (11.2%) | resolutions=709 redemptions=14444
  [CT] Block 48610000/85042627 (11.2%) | resolutions=709 redemptions=14466
