============================================================
Phase 1: CTF Exchange (standard markets)
============================================================
Indexing ctf events from block 50672000 to 85042596 (34370596 blocks)
  [ctf] Block 52431999/85042596 (5.1%) | fills=75810 matches=30513
  [ctf] Block 52441999/85042596 (5.1%) | fills=76195 matches=30655
  [ctf] Block 52451999/85042596 (5.2%) | fills=76638 matches=30849
  [ctf] Block 52461999/85042596 (5.2%) | fills=76951 matches=30974
  [ctf] Block 52471999/85042596 (5.2%) | fills=77223 matches=31080
  [ctf] Block 52481999/85042596 (5.3%) | fills=77657 matches=31252
  [ctf] Block 52491999/85042596 (5.3%) | fills=78062 matches=31415
  [ctf] Block 52501999/85042596 (5.3%) | fills=78264 matches=31496
  [ctf] Block 52511999/85042596 (5.4%) | fills=78498 matches=31581
  [ctf] Block 52521999/85042596 (5.4%) | fills=79012 matches=31782
  [ctf] Block 52531999/85042596 (5.4%) | fills=79213 matches=31861
  [ctf] Block 52541999/85042596 (5.4%) | fills=79492 matches=31967
  [ctf] Block 52551999/85042596 (5.5%) | fills=79728 matches=32053
  [ctf] Block 52561999/85042596 (5.5%) | fills=80028 matches=32175
  [ctf] Block 52571999/85042596 (5.5%) | fills=80543 matches=32391
  [ctf] Block 52581999/85042596 (5.6%) | fills=80747 matches=32483
  [ctf] Block 52591999/85042596 (5.6%) | fills=81010 matches=32582
  [ctf] Block 52601999/85042596 (5.6%) | fills=81538 matches=32804
  [ctf] Block 52611999/85042596 (5.6%) | fills=81772 matches=32902
  [ctf] Block 52621999/85042596 (5.7%) | fills=81993 matches=32998
  [ctf] Block 52631999/85042596 (5.7%) | fills=82439 matches=33174
  [ctf] Block 52641999/85042596 (5.7%) | fills=82670 matches=33271
  [ctf] Block 52651999/85042596 (5.8%) | fills=82855 matches=33339
  [ctf] Block 52661999/85042596 (5.8%) | fills=83079 matches=33428
  [ctf] Block 52671999/85042596 (5.8%) | fills=83383 matches=33549
  [ctf] Block 52681999/85042596 (5.8%) | fills=83747 matches=33692
  [ctf] Block 52691999/85042596 (5.9%) | fills=84082 matches=33830
  [ctf] Block 52701999/85042596 (5.9%) | fills=84439 matches=33973
  [ctf] Block 52711999/85042596 (5.9%) | fills=84860 matches=34141
  [ctf] Block 52721999/85042596 (6.0%) | fills=85198 matches=34276
  [ctf] Block 52731999/85042596 (6.0%) | fills=85431 matches=34372
  [ctf] Block 52741999/85042596 (6.0%) | fills=85759 matches=34494
  [ctf] Block 52751999/85042596 (6.1%) | fills=86285 matches=34702
  [ctf] Block 52761999/85042596 (6.1%) | fills=86821 matches=34925
  [ctf] Block 52771999/85042596 (6.1%) | fills=87124 matches=35042
  [ctf] Block 52781999/85042596 (6.1%) | fills=87469 matches=35185
  [ctf] Block 52791999/85042596 (6.2%) | fills=87912 matches=35352
  [ctf] Block 52801999/85042596 (6.2%) | fills=88273 matches=35484
  [ctf] Block 52811999/85042596 (6.2%) | fills=88452 matches=35549
  [ctf] Block 52821999/85042596 (6.3%) | fills=88729 matches=35655
  [ctf] Block 52831999/85042596 (6.3%) | fills=89062 matches=35784
  [ctf] Block 52841999/85042596 (6.3%) | fills=89396 matches=35921
  [ctf] Block 52851999/85042596 (6.3%) | fills=89806 matches=36093
  [ctf] Block 52861999/85042596 (6.4%) | fills=90401 matches=36334
  [ctf] Block 52871999/85042596 (6.4%) | fills=90992 matches=36595
  [ctf] Block 52881999/85042596 (6.4%) | fills=91232 matches=36688
  [ctf] Block 52891999/85042596 (6.5%) | fills=91540 matches=36821
  [ctf] Block 52901999/85042596 (6.5%) | fills=91947 matches=36975
